timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-05-02T22:01:35.052260+07:00,Hà Nội,112,/dl/web/weather/ic-w-12-night-rain-full.svg,16.1 km/h,78%
2025-05-02T23:01:52.537065+07:00,Hà Nội,92,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,13.4 km/h,82%
2025-05-03T00:01:45.965099+07:00,Hà Nội,101,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,13.4 km/h,82%
2025-05-03T01:01:53.171309+07:00,Hà Nội,119,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.7 km/h,86%
2025-05-03T02:01:40.655426+07:00,Hà Nội,123,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.7 km/h,86%
2025-05-03T03:01:32.659233+07:00,Hà Nội,138,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,12.6 km/h,86%
2025-05-03T04:01:44.333746+07:00,Hà Nội,133,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,11.9 km/h,87%
2025-05-03T05:01:58.303189+07:00,Hà Nội,133,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.4 km/h,90%
2025-05-03T06:01:28.193824+07:00,Hà Nội,137,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.4 km/h,90%
2025-05-03T07:04:18.212066+07:00,Hà Nội,142,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.0 km/h,82%
2025-05-03T08:29:01.265127+07:00,Hà Nội,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.7 km/h,77%
2025-05-03T09:28:35.322085+07:00,Hà Nội,129,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,73%
2025-05-03T10:16:21.583794+07:00,Hà Nội,139,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.3 km/h,73%
2025-05-03T11:01:48.847674+07:00,Hà Nội,139,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.1 km/h,69%
2025-05-03T12:01:49.610097+07:00,Hà Nội,132,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.3 km/h,69%
